1422.11,QQQ,TQQQ,SOXL,TECL,SGOV
2010-01-04,46.42,,,1.03,
2010-01-05,46.42,,,1.03,
2010-01-06,46.14,,,1.01,
2010-01-07,46.17,,,1.0,
2010-01-08,46.55,,,1.02,
2010-01-11,46.36,,,1.0,
2010-01-12,45.78,,,0.97,
2010-01-13,46.35,,,0.99,
2010-01-14,46.39,,,1.02,
2010-01-15,45.85,,,0.98,
2010-01-19,46.59,,,1.01,
2010-01-20,45.92,,,0.98,
2010-01-21,45.49,,,0.95,
2010-01-22,44.16,,,0.84,
2010-01-25,44.31,,,0.85,
2010-01-26,44.35,,,0.85,
2010-01-27,44.7,,,0.87,
2010-01-28,43.55,,,0.79,
2010-01-29,42.79,,,0.74,
2010-02-01,43.26,,,0.77,
2010-02-02,43.65,,,0.79,
2010-02-03,43.89,,,0.8,
2010-02-04,42.62,,,0.74,
2010-02-05,42.98,,,0.76,
2010-02-08,42.67,,,0.75,
2010-02-09,43.11,,,0.77,
2010-02-10,43.02,,,0.76,
2010-02-11,43.67,0.22,,0.8,
2010-02-12,43.76,0.22,,0.8,
2010-02-16,44.32,0.23,,0.84,
2010-02-17,44.57,0.23,,0.85,
2010-02-18,44.85,0.23,,0.87,
2010-02-19,44.83,0.23,,0.86,
2010-02-22,44.74,0.23,,0.86,
2010-02-23,44.16,0.22,,0.82,
2010-02-24,44.61,0.23,,0.85,
2010-02-25,44.6,0.23,,0.84,
2010-02-26,44.76,0.23,,0.84,
2010-03-01,45.41,0.24,,0.88,
2010-03-02,45.55,0.24,,0.87,
2010-03-03,45.6,0.25,,0.87,
2010-03-04,45.75,0.25,,0.89,
2010-03-05,46.44,0.26,,0.92,
2010-03-08,46.53,0.26,,0.93,
2010-03-09,46.79,0.26,,0.94,
2010-03-10,47.17,0.27,,0.96,
2010-03-11,47.35,0.27,0.66,0.97,
2010-03-12,47.36,0.27,0.64,0.97,
2010-03-15,47.24,0.27,0.62,0.96,
2010-03-16,47.54,0.28,0.67,0.98,
2010-03-17,47.67,0.28,0.7,1.0,
2010-03-18,47.83,0.28,0.68,1.0,
2010-03-19,47.49,0.28,0.65,0.97,
2010-03-22,47.92,0.29,0.7,1.0,
2010-03-23,48.25,0.29,0.74,1.0,
2010-03-24,48.02,0.29,0.7,0.98,
2010-03-25,47.95,0.29,0.7,0.99,
2010-03-26,48.0,0.29,0.69,0.98,
2010-03-29,48.23,0.29,0.71,0.98,
2010-03-30,48.39,0.29,0.72,0.99,
2010-03-31,48.16,0.29,0.71,0.98,
2010-04-01,48.16,0.29,0.71,0.97,
2010-04-05,48.61,0.3,0.77,1.01,
2010-04-06,48.75,0.3,0.76,1.01,
2010-04-07,48.63,0.3,0.77,1.01,
2010-04-08,48.74,0.3,0.74,1.01,
2010-04-09,49.03,0.3,0.76,1.03,
2010-04-12,49.07,0.31,0.78,1.04,
2010-04-13,49.32,0.31,0.79,1.05,
2010-04-14,49.91,0.32,0.89,1.11,
2010-04-15,50.13,0.33,0.9,1.13,
2010-04-16,49.53,0.31,0.87,1.08,
2010-04-19,49.5,0.31,0.84,1.08,
2010-04-20,49.75,0.32,0.88,1.1,
2010-04-21,50.03,0.32,0.85,1.11,
2010-04-22,50.31,0.33,0.9,1.12,
2010-04-23,50.52,0.33,0.91,1.13,
2010-04-26,50.41,0.33,0.91,1.13,
2010-04-27,49.34,0.31,0.82,1.06,
2010-04-28,49.37,0.31,0.83,1.07,
2010-04-29,50.23,0.33,0.86,1.1,
2010-04-30,49.24,0.31,0.75,1.03,
2010-05-03,49.93,0.32,0.8,1.07,
2010-05-04,48.43,0.29,0.7,0.98,
2010-05-05,48.18,0.29,0.67,0.96,
2010-05-06,46.57,0.26,0.62,0.86,
2010-05-07,45.41,0.24,0.58,0.8,
2010-05-10,47.77,0.28,0.68,0.92,
2010-05-11,47.72,0.28,0.67,0.91,
2010-05-12,48.62,0.29,0.72,0.98,
2010-05-13,47.85,0.28,0.66,0.94,
2010-05-14,46.93,0.26,0.6,0.89,
2010-05-17,47.08,0.26,0.63,0.89,
2010-05-18,46.43,0.25,0.58,0.86,
2010-05-19,46.06,0.25,0.59,0.84,
2010-05-20,44.35,0.22,0.54,0.75,
2010-05-21,44.84,0.22,0.57,0.77,
2010-05-24,44.66,0.23,0.54,0.75,
2010-05-25,44.7,0.22,0.55,0.75,
2010-05-26,44.2,0.22,0.55,0.73,
2010-05-27,45.87,0.24,0.63,0.81,
2010-05-28,45.6,0.24,0.6,0.79,
2010-06-01,45.18,0.23,0.56,0.76,
2010-06-02,46.25,0.25,0.62,0.82,
2010-06-03,46.69,0.25,0.65,0.84,
2010-06-04,45.09,0.23,0.56,0.76,
2010-06-07,44.27,0.21,0.5,0.72,
2010-06-08,44.19,0.21,0.49,0.71,
2010-06-09,43.82,0.21,0.48,0.7,
2010-06-10,45.07,0.23,0.54,0.75,
2010-06-11,45.5,0.23,0.56,0.77,
2010-06-14,45.49,0.23,0.57,0.77,
2010-06-15,46.71,0.25,0.67,0.84,
2010-06-16,46.9,0.25,0.67,0.85,
2010-06-17,47.05,0.26,0.67,0.86,
2010-06-18,47.0,0.26,0.67,0.86,
2010-06-21,46.6,0.25,0.65,0.83,
2010-06-22,46.24,0.24,0.61,0.8,
2010-06-23,46.05,0.24,0.62,0.79,
2010-06-24,45.35,0.23,0.57,0.75,
2010-06-25,45.27,0.23,0.57,0.74,
2010-06-28,45.11,0.23,0.57,0.74,
2010-06-29,43.37,0.2,0.5,0.66,
2010-06-30,42.71,0.19,0.47,0.62,
2010-07-01,42.59,0.19,0.47,0.62,
2010-07-02,42.47,0.19,0.47,0.61,
2010-07-06,42.6,0.19,0.47,0.63,
2010-07-07,43.96,0.21,0.54,0.7,
2010-07-08,44.2,0.21,0.54,0.71,
2010-07-09,44.62,0.22,0.55,0.72,
2010-07-12,44.75,0.22,0.58,0.73,
2010-07-13,45.33,0.23,0.61,0.77,
2010-07-14,45.56,0.23,0.61,0.79,
2010-07-15,45.6,0.23,0.6,0.79,
2010-07-16,44.34,0.21,0.54,0.72,
2010-07-19,44.72,0.22,0.58,0.75,
2010-07-20,45.26,0.23,0.58,0.76,
2010-07-21,44.64,0.22,0.55,0.73,
2010-07-22,45.77,0.23,0.6,0.78,
2010-07-23,46.06,0.24,0.61,0.8,
2010-07-26,46.44,0.24,0.63,0.82,
2010-07-27,46.42,0.24,0.62,0.82,
2010-07-28,46.05,0.24,0.59,0.79,
2010-07-29,45.71,0.23,0.55,0.77,
2010-07-30,45.81,0.23,0.54,0.76,
2010-08-02,46.67,0.25,0.56,0.81,
2010-08-03,46.47,0.24,0.55,0.8,
2010-08-04,46.94,0.25,0.56,0.82,
2010-08-05,46.83,0.25,0.55,0.81,
2010-08-06,46.76,0.25,0.55,0.8,
2010-08-09,47.08,0.25,0.56,0.81,
2010-08-10,46.67,0.25,0.52,0.77,
2010-08-11,45.4,0.23,0.45,0.71,
2010-08-12,45.04,0.22,0.44,0.67,
2010-08-13,44.72,0.22,0.42,0.66,
2010-08-16,44.8,0.22,0.43,0.67,
2010-08-17,45.37,0.23,0.44,0.69,
2010-08-18,45.55,0.23,0.46,0.7,
2010-08-19,44.86,0.22,0.43,0.68,
2010-08-20,44.92,0.22,0.44,0.68,
2010-08-23,44.48,0.21,0.42,0.66,
2010-08-24,43.65,0.2,0.4,0.62,
2010-08-25,44.07,0.21,0.41,0.63,
2010-08-26,43.54,0.2,0.39,0.61,
